Date,Open,High,Low,Close,Adj Close,Volume
2023-11-28,19844.650390625,19916.849609375,19800.0,19889.69921875,19889.69921875,229600
2023-11-29,19976.55078125,20104.650390625,19956.30078125,20096.599609375,20096.599609375,236200
2023-11-30,20108.5,20158.69921875,20015.849609375,20133.150390625,20133.150390625,486600
2023-12-01,20194.099609375,20291.55078125,20183.69921875,20267.900390625,20267.900390625,265800
2023-12-04,20601.94921875,20702.650390625,20507.75,20686.80078125,20686.80078125,381100
2023-12-05,20808.900390625,20864.05078125,20711.150390625,20855.099609375,20855.099609375,421000
2023-12-06,20950.75,20961.94921875,20852.150390625,20937.69921875,20937.69921875,359200
2023-12-07,20932.400390625,20941.25,20850.80078125,20901.150390625,20901.150390625,275000
2023-12-08,20934.099609375,21006.099609375,20862.69921875,20969.400390625,20969.400390625,292400
2023-12-11,20965.30078125,21026.099609375,20923.69921875,20997.099609375,20997.099609375,212900
2023-12-12,21018.55078125,21037.900390625,20867.150390625,20906.400390625,20906.400390625,244900
2023-12-13,20929.75,20950.0,20769.5,20926.349609375,20926.349609375,260300
2023-12-14,21110.400390625,21210.900390625,21074.44921875,21182.69921875,21182.69921875,334400
2023-12-15,21287.44921875,21492.30078125,21235.30078125,21456.650390625,21456.650390625,508800
2023-12-18,21434.80078125,21482.80078125,21365.349609375,21418.650390625,21418.650390625,249700
2023-12-19,21477.650390625,21505.05078125,21337.75,21453.099609375,21453.099609375,249800
2023-12-20,21543.5,21593.0,21087.349609375,21150.150390625,21150.150390625,363900
2023-12-21,21033.94921875,21288.349609375,20976.80078125,21255.05078125,21255.05078125,277500
2023-12-22,21295.849609375,21390.5,21232.44921875,21349.400390625,21349.400390625,284700
2023-12-26,21365.19921875,21477.150390625,21329.44921875,21441.349609375,21441.349609375,219500
2023-12-27,21497.650390625,21675.75,21495.80078125,21654.75,21654.75,256500
2023-12-28,21715.0,21801.44921875,21678.0,21778.69921875,21778.69921875,393100
2023-12-29,21737.650390625,21770.30078125,21676.900390625,21731.400390625,21731.400390625,270900
2024-01-01,21727.75,21834.349609375,21680.849609375,21741.900390625,21741.900390625,154000
2024-01-02,21751.349609375,21755.599609375,21555.650390625,21665.80078125,21665.80078125,263700
2024-01-03,21661.099609375,21677.0,21500.349609375,21517.349609375,21517.349609375,311900
2024-01-04,21605.80078125,21685.650390625,21564.55078125,21658.599609375,21658.599609375,339200
2024-01-05,21705.75,21749.599609375,21629.19921875,21710.80078125,21710.80078125,309300
2024-01-08,21747.599609375,21763.94921875,21492.900390625,21513.0,21513.0,231500
2024-01-09,21653.599609375,21724.44921875,21517.849609375,21544.849609375,21544.849609375,228600
2024-01-10,21529.30078125,21641.849609375,21448.650390625,21618.69921875,21618.69921875,217000
2024-01-11,21688.0,21726.5,21593.75,21647.19921875,21647.19921875,212500
2024-01-12,21773.55078125,21928.25,21715.150390625,21894.55078125,21894.55078125,294700
2024-01-15,22053.150390625,22115.55078125,21963.55078125,22097.44921875,22097.44921875,345500
2024-01-16,22080.5,22124.150390625,21969.80078125,22032.30078125,22032.30078125,292400
2024-01-17,21647.25,21851.5,21550.44921875,21571.94921875,21571.94921875,456000
